Ref,Val,Package,PosX,PosY,Rot,Side
"C31","0.1u","C_0805_2012Metric",79.770000,-155.570000,-90.000000,top
"C32","0.1u","C_0805_2012Metric",93.670000,-155.630000,-90.000000,top
"C33","0.1u","C_0805_2012Metric",107.640000,-155.630000,-90.000000,top
"C34","0.1u","C_0805_2012Metric",121.530000,-155.650000,-90.000000,top
"C35","0.1u","C_0805_2012Metric",163.580000,-155.500000,-90.000000,top
"C36","0.1u","C_0805_2012Metric",177.580000,-155.700000,-90.000000,top
"C37","0.1u","C_0805_2012Metric",205.630000,-155.610000,-90.000000,top
"C38","0.1u","C_0805_2012Metric",219.630000,-155.630000,-90.000000,top
"C39","0.1u","C_0805_2012Metric",191.460000,-155.600000,-90.000000,top
"C40","0.1u","C_0805_2012Metric",149.740000,-155.530000,-90.000000,top
"C41","0.1u","C_0805_2012Metric",135.640000,-155.670000,-90.000000,top
"C42","0.1u","C_0805_2012Metric",67.100000,-232.720000,180.000000,top
"C43","0.1u","C_0805_2012Metric",115.140000,-236.580000,180.000000,top
"C44","0.1u","C_0805_2012Metric",234.250000,-228.820000,90.000000,top
"D1","Yellow","LED_0805_2012Metric",62.400000,-52.600000,0.000000,top
"D2","Yellow","LED_0805_2012Metric",62.384940,-79.712301,0.000000,top
"D3","Yellow","LED_0805_2012Metric",62.474940,-128.972301,0.000000,top
"D4","Yellow","LED_0805_2012Metric",62.524940,-175.272301,0.000000,top
"D5","Yellow","LED_0805_2012Metric",76.354940,-52.592301,0.000000,top
"D6","Yellow","LED_0805_2012Metric",76.344940,-79.712301,0.000000,top
"D7","Yellow","LED_0805_2012Metric",76.494940,-128.992301,0.000000,top
"D8","Yellow","LED_0805_2012Metric",76.525000,-175.275000,0.000000,top
"D9","Yellow","LED_0805_2012Metric",90.324940,-52.582301,0.000000,top
"D10","Yellow","LED_0805_2012Metric",90.314940,-79.702301,0.000000,top
"D11","Yellow","LED_0805_2012Metric",90.364940,-128.982301,0.000000,top
"D12","Yellow","LED_0805_2012Metric",90.395000,-175.265000,0.000000,top
"D13","Yellow","LED_0805_2012Metric",104.400000,-52.600000,0.000000,top
"D14","Yellow","LED_0805_2012Metric",104.390000,-79.720000,0.000000,top
"D15","Yellow","LED_0805_2012Metric",104.340000,-129.000000,0.000000,top
"D16","Yellow","LED_0805_2012Metric",104.370060,-175.282699,0.000000,top
"D17","Yellow","LED_0805_2012Metric",118.400000,-52.600000,0.000000,top
"D18","Yellow","LED_0805_2012Metric",118.390000,-79.720000,0.000000,top
"D19","Yellow","LED_0805_2012Metric",118.340000,-129.000000,0.000000,top
"D20","Yellow","LED_0805_2012Metric",118.370060,-175.282699,0.000000,top
"D21","Yellow","LED_0805_2012Metric",160.400000,-52.500000,0.000000,top
"D22","Yellow","LED_0805_2012Metric",160.400000,-128.900000,0.000000,top
"D23","Yellow","LED_0805_2012Metric",160.400000,-79.600000,0.000000,top
"D24","Yellow","LED_0805_2012Metric",160.450000,-175.150000,0.000000,top
"D25","Yellow","LED_0805_2012Metric",174.400000,-52.600000,0.000000,top
"D26","Yellow","LED_0805_2012Metric",174.400000,-129.000000,0.000000,top
"D27","Yellow","LED_0805_2012Metric",174.400000,-79.700000,0.000000,top
"D28","Yellow","LED_0805_2012Metric",174.450000,-175.250000,0.000000,top
"D29","Yellow","LED_0805_2012Metric",202.400000,-52.600000,0.000000,top
